Designator,Mid X,Mid Y,Layer,Rotation
"C1","-35.5349mm","17.7726mm","Top",0
"C2","-35.5349mm","19.4726mm","Top",0
"C3","-22.3449mm","-9.2246mm","Top",0
"C4","-19.5249mm","-6.4057mm","Top",180
"C5","-22.3449mm","-5.0024mm","Top",0
"C6","-37.7049mm","1.2476mm","Top",180
"C7","-37.7049mm","-2.1024mm","Top",180
"C8","-43.2549mm","10.3426mm","Top",180
"C9","-39.7799mm","7.8226mm","Top",90
"C10","-43.2549mm","11.6726mm","Top",180
"C11","-43.0799mm","13.3226mm","Top",0
"D1","-44.0299mm","16.8726mm","Top",90
"J1","-40.6299mm","23.2751mm","Top",180
"KY037","30.011mm","-12.9216mm","Top",0
"LED1","-32.0299mm","3.8226mm","Top",180
"PIR1","-32.0299mm","-14.1774mm","Top",0
"R1","-19.4749mm","-5.0024mm","Top",180
"R2","-22.3949mm","-7.8321mm","Top",180
"R3","-22.3949mm","-6.4057mm","Top",0
"R4","-37.6549mm","-4.2524mm","Top",0
"R5","-32.4549mm","0.6726mm","Top",90
"R6","-31.1299mm","0.6726mm","Top",90
"R7","-33.7799mm","0.6726mm","Top",90
"R8","-42.0299mm","17.7726mm","Top",270
"R9","-39.3799mm","17.7726mm","Top",270
"SW1","-42.6799mm","2.3226mm","Top",0
"SW2","-42.6799mm","-3.1774mm","Top",0
"U1","-4.4649mm","22.8757mm","Top",0
"U1","-26.0299mm","15.2226mm","Top",0
"U2","10.0169mm","-10.4312mm","Top",0
"U2","-42.6799mm","7.8226mm","Top",0
"U3","-12.8959mm","-10.478mm","Top",0
"U3","-21.0299mm","0.0226mm","Top",90
"U4","-12.0977mm","9.8096mm","Top",0
"U5","13.5973mm","-14.5055mm","Top",0
"US1","9.4844mm","5.052mm","Top",0
